fast_window,slow_window,volume_threshold,position_size_pct,stop_loss_pct,take_profit_pct,max_holding_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
10,15,2.0,0.05,0.015,0.025,90,0.0,0.0,0.0,0,0,0.0
5,15,1.5,0.05,0.02,0.025,90,0.0,0.0,0.0,0,0,0.0
5,20,2.0,0.05,0.015,0.035,60,0.0,0.0,0.0,0,0,0.0
5,20,1.5,0.07,0.02,0.035,90,0.0,0.0,0.0,0,0,0.0
10,20,2.0,0.05,0.02,0.025,60,0.0,0.0,0.0,0,0,0.0
10,15,1.5,0.07,0.015,0.025,90,0.0,0.0,0.0,0,0,0.0
10,20,1.5,0.05,0.02,0.035,45,0.0,0.0,0.0,0,0,0.0
5,15,1.5,0.05,0.015,0.035,45,0.0,0.0,0.0,0,0,0.0
10,15,1.5,0.05,0.02,0.035,45,0.0,0.0,0.0,0,0,0.0
10,20,2.0,0.05,0.02,0.035,60,0.0,0.0,0.0,0,0,0.0
10,15,2.0,0.07,0.02,0.025,60,0.0,0.0,0.0,0,0,0.0
5,15,2.0,0.07,0.015,0.025,60,0.0,0.0,0.0,0,0,0.0
5,20,2.0,0.05,0.02,0.025,90,0.0,0.0,0.0,0,0,0.0
5,20,2.0,0.07,0.015,0.025,90,0.0,0.0,0.0,0,0,0.0
5,20,1.5,0.05,0.015,0.035,45,0.0,0.0,0.0,0,0,0.0
5,15,1.5,0.05,0.015,0.025,45,0.0,0.0,0.0,0,0,0.0
10,15,2.0,0.05,0.015,0.025,45,0.0,0.0,0.0,0,0,0.0
5,15,2.0,0.05,0.02,0.035,90,0.0,0.0,0.0,0,0,0.0
10,20,2.0,0.05,0.02,0.025,60,0.0,0.0,0.0,0,0,0.0
5,15,1.5,0.05,0.02,0.025,45,0.0,0.0,0.0,0,0,0.0
5,15,1.5,0.05,0.02,0.025,90,0.0,0.0,0.0,0,0,0.0
10,20,1.5,0.07,0.015,0.035,60,0.0,0.0,0.0,0,0,0.0
5,15,2.0,0.05,0.015,0.025,45,0.0,0.0,0.0,0,0,0.0
10,20,1.5,0.05,0.02,0.035,45,0.0,0.0,0.0,0,0,0.0
10,15,1.5,0.05,0.015,0.035,45,0.0,0.0,0.0,0,0,0.0
10,20,2.0,0.05,0.015,0.025,60,0.0,0.0,0.0,0,0,0.0
